Holdings details

Total World Stock ETF (VT)


Equity,as of 09/30/2020

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,2310525,salesforce.com Inc.,CRM,0.37%,Application Software,US,---,"$76,074,815.32","302,701"
,2857817,Netflix Inc.,NFLX,0.36%,Movies & Entertainment,US,---,"$74,355,461.06","148,702"
,2044545,Comcast Corp.,CMCSA,0.36%,Cable & Satellite,US,---,"$73,145,849.40","1,581,190"
,2778844,Merck & Co. Inc.,MRK,0.36%,Pharmaceuticals,US,---,"$73,123,328.25","881,535"
,2684703,Pfizer Inc.,PFE,0.35%,Pharmaceuticals,US,---,"$71,215,983.00","1,940,490"
,2831811,AT&T Inc.,T,0.35%,Integrated Telecommunication Services,US,---,"$70,941,375.98","2,488,298"
,2936921,Walmart Inc.,WMT,0.33%,Hypermarkets & Super Centers,US,---,"$68,030,258.13","486,243"
,2681511,PepsiCo Inc.,PEP,0.33%,Soft Drinks,US,---,"$67,128,553.80","484,333"
,2206657,Coca-Cola Co.,KO,0.33%,Soft Drinks,US,---,"$66,596,427.25","1,348,925"
,2002305,Abbott Laboratories,ABT,0.32%,Health Care Equipment,US,---,"$65,640,161.52","603,144"
,7103065,Novartis AG,NOVN,0.32%,Pharmaceuticals,CH,---,"$65,156,617.17","750,442"
,2295677,Bank of America Corp.,BAC,0.32%,Diversified Banks,US,---,"$65,020,114.50","2,699,050"
,4846288,SAP SE,SAP,0.30%,Application Software,DE,---,"$61,012,294.90","391,810"
,2886907,Thermo Fisher Scientific Inc.,TMO,0.30%,Life Sciences Tools & Services,US,---,"$60,845,871.20","137,810"
,2198163,Cisco Systems Inc.,CSCO,0.29%,Communications Equipment,US,---,"$58,367,944.44","1,481,796"
,2550707,McDonald's Corp.,MCD,0.28%,Restaurants,US,---,"$57,016,039.34","259,766"
,6900643,Toyota Motor Corp.,7203,0.28%,Automobile Manufacturers,JP,---,"$56,992,199.18","858,704"
,2701271,Costco Wholesale Corp.,COST,0.27%,Hypermarkets & Super Centers,US,---,"$54,660,060.00","153,972"
,B92SR70,AbbVie Inc.,ABBV,0.26%,Biotechnology,US,---,"$53,842,536.49","614,711"
,2640147,NIKE Inc.,NKE,0.26%,Footwear,US,---,"$53,059,229.92","422,648"
,2023607,Amgen Inc.,AMGN,0.26%,Biotechnology,US,---,"$52,202,939.04","205,394"
,B929F46,ASML Holding NV,ASML,0.25%,Semiconductor Equipment,NL,---,"$51,449,903.53","139,289"
,2113382,Taiwan Semiconductor Manufacturing Co. Ltd.,TSM,0.25%,Semiconductors,TW,ADR,"$50,906,041.89","627,927"
,2326618,Exxon Mobil Corp.,XOM,0.25%,Integrated Oil & Gas,US,---,"$50,707,229.49","1,477,053"
,B4BNMY3,Accenture plc,ACN,0.25%,IT Consulting & Other Services,US,---,"$50,262,887.88","222,412"
,0989529,AstraZeneca plc,AZN,0.24%,Pharmaceuticals,GB,---,"$50,094,709.95","458,470"
,BDZ78H9,Broadcom Inc.,AVGO,0.24%,Semiconductors,US,---,"$49,615,647.84","136,187"
,BTN1Y11,Medtronic plc,MDT,0.24%,Health Care Equipment,US,---,"$48,638,405.04","468,037"
,2126335,Bristol-Myers Squibb Co.,BMY,0.23%,Pharmaceuticals,US,---,"$47,629,401.45","790,005"
,2328915,NextEra Energy Inc.,NEE,0.23%,Electric Utilities,US,---,"$47,394,202.68","170,753"
,2250870,Danaher Corp.,DHR,0.23%,Health Care Equipment,US,---,"$47,036,254.54","218,438"
,2838555,Chevron Corp.,CVX,0.23%,Integrated Oil & Gas,US,---,"$46,974,096.00","652,418"
,2914734,Union Pacific Corp.,UNP,0.23%,Railroads,US,---,"$46,631,415.68","236,864"
,2714923,QUALCOMM Inc.,QCOM,0.23%,Semiconductors,US,---,"$46,209,523.28","392,671"
,2885409,Texas Instruments Inc.,TXN,0.22%,Semiconductors,US,---,"$45,722,928.69","320,211"
,4942818,Samsung Electronics Co. Ltd.,SMSN,0.22%,"Technology Hardware, Storage & Periphera",KR,GDR,"$45,637,652.73","35,994"
,2536763,Lowe's Cos. Inc.,LOW,0.21%,Home Improvement Retail,US,---,"$43,741,760.22","263,727"
,BZ12WP8,Linde plc,LIN,0.21%,Industrial Gases,US,---,"$43,640,656.32","183,264"
,2516152,Eli Lilly and Co.,LLY,0.21%,Pharmaceuticals,US,---,"$43,506,038.40","293,920"
,B4TX8S1,AIA Group Ltd.,1299,0.21%,Life & Health Insurance,HK,---,"$41,990,769.36","4,224,382"
,2517382,United Parcel Service Inc.,UPS,0.20%,Air Freight & Logistics,US,---,"$40,998,978.24","246,048"
,B2PKRQ3,Philip Morris International Inc.,PM,0.20%,Tobacco,US,---,"$40,714,845.63","542,937"
,4061412,LVMH Moet Hennessy Louis Vuitton SE,MC,0.20%,"Apparel, Accessories & Luxury Goods",FR,---,"$40,692,622.14","86,968"
,2020459,Honeywell International Inc.,HON,0.20%,Industrial Conglomerates,US,---,"$40,327,968.51","244,991"
,2661568,Oracle Corp.,ORCL,0.20%,Systems Software,US,---,"$40,006,164.00","670,120"
,BGJW376,Meituan Dianping,3690,0.19%,Internet & Direct Marketing Retail,CN,---,"$39,564,378.03","1,255,960"
,BHC8X90,Novo Nordisk A/S,NOVO B,0.19%,Pharmaceuticals,DK,---,"$39,053,989.31","563,675"
,5671735,Sanofi,SAN,0.19%,Pharmaceuticals,FR,---,"$38,104,867.75","380,241"
,2005973,International Business Machines Corp.,IBM,0.18%,IT Consulting & Other Services,US,---,"$37,720,011.73","310,019"
,B7FBFL2,American Tower Corp.,AMT,0.18%,Specialized REITs,US,---,"$37,205,147.76","153,912"
,2093666,Berkshire Hathaway Inc.,BRK.A,0.17%,Multi-Sector Holdings,US,---,"$35,520,111.00",111
,2842255,Starbucks Corp.,SBUX,0.17%,Restaurants,US,---,"$35,039,035.20","407,810"
,2754383,Royal Bank of Canada,RY,0.17%,Diversified Banks,CA,---,"$34,936,353.96","497,588"
,6771720,Samsung Electronics Co. Ltd.,005930,0.17%,"Technology Hardware, Storage & Periphera",KR,---,"$33,762,696.76","680,094"
,5727973,Siemens AG,SIE,0.16%,Industrial Conglomerates,DE,---,"$33,711,931.97","266,941"
,2007849,Advanced Micro Devices Inc.,AMD,0.16%,Semiconductors,US,---,"$33,442,409.16","407,884"
,2522096,Lockheed Martin Corp.,LMT,0.16%,Aerospace & Defense,US,---,"$33,092,011.92","86,339"
,6185495,CSL Ltd.,CSL,0.16%,Biotechnology,AU,---,"$32,777,829.36","158,679"
,6821506,Sony Corp.,6758,0.16%,Consumer Electronics,JP,---,"$32,641,842.60","425,900"
,BZ6VT82,Charter Communications Inc.,CHTR,0.16%,Cable & Satellite,US,---,"$32,580,558.56","52,184"
,0925288,GlaxoSmithKline plc,GSK,0.16%,Pharmaceuticals,GB,---,"$32,554,085.98","1,736,441"
,B80NXX8,ServiceNow Inc.,NOW,0.16%,Systems Software,US,---,"$32,155,500.00","66,300"
,6770620,SoftBank Group Corp.,9984,0.16%,Wireless Telecommunication Services,JP,---,"$31,818,386.57","514,240"
,2769796,Fidelity National Information Services Inc.,FIS,0.16%,Data Processing & Outsourced Services,US,---,"$31,714,333.56","215,436"
,2595708,3M Co.,MMM,0.15%,Industrial Conglomerates,US,---,"$31,406,012.06","196,067"
,2297907,Citigroup Inc.,C,0.15%,Diversified Banks,US,---,"$31,321,742.94","726,554"
,2649100,Wells Fargo & Co.,WFC,0.15%,Diversified Banks,US,---,"$30,803,154.65","1,310,215"
,B1527V7,Unilever NV,UNA,0.15%,Personal Products,NL,---,"$30,796,181.07","507,119"
,2108601,Boeing Co.,BA,0.15%,Aerospace & Defense,US,---,"$30,792,069.50","186,325"
,BYV2325,S&P Global Inc.,SPGI,0.15%,Financial Exchanges & Data,US,---,"$30,294,006.00","84,010"
,BXDZ9Z0,Shopify Inc.,SHOP,0.15%,Internet Services & Infrastructure,US,---,"$29,852,310.54","29,182"
,6490995,Keyence Corp.,6861,0.14%,Electronic Equipment & Instruments,JP,---,"$29,372,659.59","62,832"
,2897222,Toronto-Dominion Bank,TD,0.14%,Diversified Banks,CA,---,"$29,244,013.52","631,628"
,B15C557,TOTAL SE,FP,0.14%,Integrated Oil & Gas,FR,---,"$29,078,937.94","846,727"
,2494504,BlackRock Inc.,BLK,0.14%,Asset Management & Custody Banks,US,---,"$28,939,419.60","51,352"
,2459020,Intuit Inc.,INTU,0.14%,Application Software,US,---,"$28,677,121.10","87,910"
,2871301,Intuitive Surgical Inc.,ISRG,0.14%,Health Care Equipment,US,---,"$28,651,225.20","40,380"
,BM5M5Y3,Raytheon Technologies Corp.,RTX,0.14%,Aerospace & Defense,US,---,"$28,618,324.56","497,364"
,6215035,Commonwealth Bank of Australia,CBA,0.14%,Diversified Banks,AU,---,"$28,465,045.33","618,586"
,B8CKK03,Mondelez International Inc.,MDLZ,0.14%,Packaged Foods & Meats,US,---,"$28,300,789.20","492,616"
,2180201,Caterpillar Inc.,CAT,0.14%,Construction Machinery & Heavy Trucks,US,---,"$28,175,180.75","188,905"
,5231485,Allianz SE,ALV,0.14%,Multi-line Insurance,DE,---,"$27,843,034.11","145,068"
,0540528,HSBC Holdings plc,HSBA,0.14%,Diversified Banks,GB,---,"$27,836,539.69","7,115,176"
,2369174,Gilead Sciences Inc.,GILD,0.14%,Biotechnology,US,---,"$27,686,003.41","438,139"
,0237400,Diageo plc,DGE,0.13%,Distillers & Vintners,GB,---,"$27,514,478.05","801,030"
,BGSP7M9,Zoom Video Communications Inc.,ZM,0.13%,Application Software,US,---,"$27,490,622.47","58,477"
,2259101,Target Corp.,TGT,0.13%,General Merchandise Stores,US,---,"$27,446,806.68","174,354"
,B95WG16,Zoetis Inc.,ZTS,0.13%,Pharmaceuticals,US,---,"$27,424,133.95","165,835"
,2577609,CVS Health Corp.,CVS,0.13%,Health Care Services,US,---,"$26,634,196.00","456,065"
,6144690,BHP Group Ltd.,BHP,0.13%,Diversified Metals & Mining,AU,---,"$26,587,054.15","1,029,165"
,2180632,Canadian National Railway Co.,CNR,0.13%,Railroads,CA,---,"$26,452,562.51","248,381"
,6622691,Naspers Ltd.,NPN,0.13%,Internet & Direct Marketing Retail,ZA,---,"$26,058,384.72","147,536"
,B44WZD7,Prologis Inc.,PLD,0.13%,Industrial REITs,US,---,"$25,836,599.88","256,774"
,B288C92,Iberdrola SA,IBE,0.12%,Electric Utilities,ES,---,"$25,527,718.21","2,073,964"
,2853688,Stryker Corp.,SYK,0.12%,Health Care Equipment,US,---,"$25,180,889.39","120,847"
,2692632,Altria Group Inc.,MO,0.12%,Tobacco,US,---,"$25,071,679.92","648,853"
,0287580,British American Tobacco plc,BATS,0.12%,Tobacco,GB,---,"$24,755,483.44","690,116"
,2931034,Vertex Pharmaceuticals Inc.,VRTX,0.12%,Biotechnology,US,---,"$24,642,915.08","90,559"
,BDRXDB4,Booking Holdings Inc.,BKNG,0.12%,Internet & Direct Marketing Retail,US,---,"$24,385,743.40","14,255"
,2261203,Deere & Co.,DE,0.12%,Agricultural & Farm Machinery,US,---,"$24,228,591.60","109,320"
,BTGQCX1,Crown Castle International Corp.,CCI,0.12%,Specialized REITs,US,---,"$24,134,008.50","144,949"
,BSPHGL4,Anthem Inc.,ANTM,0.12%,Managed Health Care,US,---,"$23,645,857.83","88,037"
,7144569,Enel SPA,ENEL,0.12%,Electric Utilities,IT,---,"$23,548,563.51","2,714,230"
,B10RZP7,Unilever plc,ULVR,0.11%,Personal Products,GB,---,"$23,467,611.15","380,637"
,BMM27D9,JD.com Inc.,JD,0.11%,Internet & Direct Marketing Retail,CN,ADR,"$23,389,170.48","301,368"
,BVLZX12,Equinix Inc.,EQIX,0.11%,Specialized REITs,US,---,"$23,306,345.93","30,661"
,2989301,TJX Cos. Inc.,TJX,0.11%,Apparel Retail,US,---,"$23,263,091.25","418,025"
,2407966,Goldman Sachs Group Inc.,GS,0.11%,Investment Banking & Brokerage,US,---,"$23,225,098.05","115,565"
,2542049,Dominion Energy Inc.,D,0.11%,Multi-Utilities,US,---,"$23,086,235.70","292,490"
,2011602,Air Products and Chemicals Inc.,APD,0.11%,Industrial Gases,US,---,"$22,941,772.92","77,022"
,2026082,American Express Co.,AXP,0.11%,Consumer Finance,US,---,"$22,870,834.50","228,138"
,4834108,Schneider Electric SE,SU,0.11%,Electrical Components & Equipment,FR,---,"$22,817,808.66","183,571"
,0718875,Rio Tinto plc,RIO,0.11%,Diversified Metals & Mining,GB,---,"$22,812,278.23","379,113"
,B7VD3F2,Duke Energy Corp.,DUK,0.11%,Electric Utilities,US,---,"$22,693,057.20","256,245"
,2209106,Colgate-Palmolive Co.,CL,0.11%,Household Products,US,---,"$22,680,171.25","293,975"
,2087807,Becton Dickinson and Co.,BDX,0.11%,Health Care Equipment,US,---,"$22,397,776.80","96,260"
,B94Q9V0,T-Mobile US Inc.,TMUS,0.11%,Wireless Telecommunication Services,US,---,"$21,943,396.80","191,880"
,4031976,adidas AG,ADS,0.11%,"Apparel, Accessories & Luxury Goods",DE,---,"$21,691,506.71","67,168"
,2575818,Activision Blizzard Inc.,ATVI,0.11%,Interactive Home Entertainment,US,---,"$21,556,094.55","266,289"
,B24CGK7,Reckitt Benckiser Group plc,RB.,0.11%,Household Products,GB,---,"$21,474,184.91","220,235"
,BHJ0775,Cigna Corp.,CI,0.10%,Health Care Services,US,---,"$21,388,520.73","126,253"
,2457552,Illinois Tool Works Inc.,ITW,0.10%,Industrial Machinery,US,---,"$21,213,298.74","109,794"
,6639550,Nintendo Co. Ltd.,7974,0.10%,Interactive Home Entertainment,JP,---,"$21,197,653.15","37,406"
,2142784,FedEx Corp.,FDX,0.10%,Air Freight & Logistics,US,---,"$21,193,075.20","84,260"
,5069211,Bayer AG,BAYN,0.10%,Pharmaceuticals,DE,---,"$21,179,764.54","343,303"
,B0LMTQ3,China Construction Bank Corp.,939,0.10%,Diversified Banks,CN,---,"$21,076,691.52","32,437,026"
,BYNZGK1,Square Inc.,SQ,0.10%,Data Processing & Outsourced Services,US,---,"$20,945,217.70","128,854"
,2065308,Automatic Data Processing Inc.,ADP,0.10%,Data Processing & Outsourced Services,US,---,"$20,915,828.05","149,945"
,6267359,Hong Kong Exchanges & Clearing Ltd.,388,0.10%,Financial Exchanges & Data,HK,---,"$20,854,685.67","443,024"
,2965839,CME Group Inc.,CME,0.10%,Financial Exchanges & Data,US,---,"$20,715,153.03","123,813"
,2160753,CSX Corp.,CSX,0.10%,Railroads,US,---,"$20,659,598.64","265,992"
,2466149,Enbridge Inc.,ENB,0.10%,Oil & Gas Storage & Transportation,CA,---,"$20,657,476.10","707,107"
,B0J7D91,Daiichi Sankyo Co. Ltd.,4568,0.10%,Pharmaceuticals,JP,---,"$20,435,501.84","665,700"
,2567741,Marsh & McLennan Cos. Inc.,MMC,0.10%,Insurance Brokers,US,---,"$20,246,270.50","176,515"
,2342034,Fiserv Inc.,FISV,0.10%,Data Processing & Outsourced Services,US,---,"$20,063,628.90","194,698"
,0798059,BP plc,BP.,0.10%,Integrated Oil & Gas,GB,---,"$20,032,720.82","6,926,956"
,2804211,Sherwin-Williams Co.,SHW,0.10%,Specialty Chemicals,US,---,"$20,021,520.64","28,736"
,2829601,Southern Co.,SO,0.10%,Electric Utilities,US,---,"$19,973,509.38","368,379"
,B01FLR7,Ping An Insurance Group Co. of China Ltd.,2318,0.10%,Life & Health Insurance,CN,---,"$19,889,352.06","1,915,966"
,5086577,BASF SE,BAS,0.10%,Diversified Chemicals,DE,---,"$19,460,607.64","319,569"
,2705024,Progressive Corp.,PGR,0.09%,Property & Casualty Insurance,US,---,"$19,301,792.95","203,885"
,2641894,Norfolk Southern Corp.,NSC,0.09%,Railroads,US,---,"$19,102,459.32","89,268"
,2445063,Humana Inc.,HUM,0.09%,Managed Health Care,US,---,"$19,077,845.66","46,094"
,2113434,Boston Scientific Corp.,BSX,0.09%,Health Care Equipment,US,---,"$19,042,412.02","498,362"
,6870445,Takeda Pharmaceutical Co. Ltd.,4502,0.09%,Pharmaceuticals,JP,---,"$19,023,784.81","532,239"
,2046552,Applied Materials Inc.,AMAT,0.09%,Semiconductor Equipment,US,---,"$18,995,226.20","319,516"
,2380498,General Electric Co.,GE,0.09%,Industrial Conglomerates,US,---,"$18,888,793.07","3,031,909"
,BFSSDS9,Intercontinental Exchange Inc.,ICE,0.09%,Financial Exchanges & Data,US,---,"$18,843,316.95","188,339"
,2730190,Regeneron Pharmaceuticals Inc.,REGN,0.09%,Biotechnology,US,---,"$18,822,042.72","33,624"
,5842359,Deutsche Telekom AG,DTE,0.09%,Integrated Telecommunication Services,DE,---,"$18,770,286.89","1,127,335"
,2262314,Morgan Stanley,MS,0.09%,Investment Banking & Brokerage,US,---,"$18,597,634.10","384,646"
,2712013,Global Payments Inc.,GPN,0.09%,Data Processing & Outsourced Services,US,---,"$18,439,196.88","103,836"
,B5B1S13,Dollar General Corp.,DG,0.09%,General Merchandise Stores,US,---,"$18,400,443.60","87,780"
,2588184,Micron Technology Inc.,MU,0.09%,Semiconductors,US,---,"$18,325,811.28","390,243"
,B3BQMF6,Chubb Ltd.,CB,0.09%,Property & Casualty Insurance,US,---,"$18,207,616.00","156,800"
,5983816,Zurich Insurance Group AG,ZURN,0.09%,Multi-line Insurance,CH,---,"$18,144,703.09","52,033"
,6804585,Shin-Etsu Chemical Co. Ltd.,4063,0.09%,Specialty Chemicals,JP,---,"$18,143,738.14","138,656"
,B16CYP9,Reliance Industries Ltd.,RIGD,0.09%,Oil & Gas Refining & Marketing,IN,GDR,"$18,122,411.71","298,405"
,BKP7287,Truist Financial Corp.,TFC,0.09%,Regional Banks,US,---,"$17,876,118.30","469,806"
,B03MLX2,Royal Dutch Shell plc,RDSA,0.09%,Integrated Oil & Gas,GB,---,"$17,864,225.88","1,431,039"
,2065159,Autodesk Inc.,ADSK,0.09%,Application Software,US,---,"$17,668,568.84","76,484"
,2076281,Bank of Nova Scotia,BNS,0.09%,Diversified Banks,CA,---,"$17,548,889.13","422,401"
,BQRRZ00,Recruit Holdings Co. Ltd.,6098,0.09%,Human Resource & Employment Services,JP,---,"$17,502,956.33","440,710"
,BK6N347,Uber Technologies Inc.,UBER,0.09%,Trucking,US,---,"$17,498,653.44","479,678"
,6335171,Mitsubishi UFJ Financial Group Inc.,8306,0.09%,Diversified Banks,JP,---,"$17,493,856.54","4,383,460"
,2491839,Kimberly-Clark Corp.,KMB,0.09%,Household Products,US,---,"$17,489,736.36","118,446"
,B23X1H3,MercadoLibre Inc.,MELI,0.09%,Internet & Direct Marketing Retail,US,---,"$17,418,185.68","16,091"
,2304227,Ecolab Inc.,ECL,0.08%,Specialty Chemicals,US,---,"$17,359,501.28","86,867"
,2648806,Northrop Grumman Corp.,NOC,0.08%,Aerospace & Defense,US,---,"$17,300,525.13","54,837"
,BZ1HM42,Adyen NV,ADYEN,0.08%,Data Processing & Outsourced Services,NL,---,"$17,234,958.41","9,344"
,5505072,Kering SA,KER,0.08%,"Apparel, Accessories & Luxury Goods",FR,---,"$17,173,378.12","25,889"
,2567116,Edwards Lifesciences Corp.,EW,0.08%,Health Care Equipment,US,---,"$17,166,887.40","215,070"
,6250724,Daikin Industries Ltd.,6367,0.08%,Building Products,JP,---,"$17,084,789.51","92,463"
,2736035,US Bancorp,USB,0.08%,Diversified Banks,US,---,"$16,995,588.75","474,075"
,2320524,Estee Lauder Cos. Inc.,EL,0.08%,Personal Products,US,---,"$16,954,533.00","77,684"
,2502247,Lam Research Corp.,LRCX,0.08%,Semiconductor Equipment,US,---,"$16,772,616.50","50,558"
,2937667,Waste Management Inc.,WM,0.08%,Environmental & Facilities Services,US,---,"$16,770,322.79","148,187"
,BLP1HW5,Aon plc,AON,0.08%,Insurance Brokers,US,---,"$16,499,255.10","79,977"
,2252058,Moody's Corp.,MCO,0.08%,Financial Exchanges & Data,US,---,"$16,418,263.40","56,644"
,2692665,PNC Financial Services Group Inc.,PNC,0.08%,Regional Banks,US,---,"$16,258,216.93","147,923"
,7333378,Lonza Group AG,LONN,0.08%,Life Sciences Tools & Services,CH,---,"$16,054,164.33","26,014"
,2092599,Brookfield Asset Management Inc.,BAM.A,0.08%,Asset Management & Custody Banks,CA,---,"$16,052,161.03","485,117"
,7108899,ABB Ltd.,ABBN,0.08%,Electrical Components & Equipment,CH,---,"$15,853,350.37","623,562"
,2613990,Illumina Inc.,ILMN,0.08%,Life Sciences Tools & Services,US,---,"$15,818,096.24","51,178"
,B03MM40,Royal Dutch Shell plc,RDSB,0.08%,Integrated Oil & Gas,GB,---,"$15,815,472.99","1,304,142"
,6773812,Samsung Electronics Co. Ltd.,005935,0.08%,"Technology Hardware, Storage & Periphera",KR,---,"$15,772,808.40","366,460"
,BYYHL23,Anheuser-Busch InBev SA/NV,ABI,0.08%,Brewers,BE,---,"$15,725,054.60","292,066"
,2455965,Biogen Inc.,BIIB,0.08%,Biotechnology,US,---,"$15,610,910.40","55,030"
,BH0P3Z9,BHP Group plc,BHP,0.08%,Diversified Metals & Mining,GB,---,"$15,489,478.09","726,038"
,4617859,Deutsche Post AG,DPW,0.08%,Air Freight & Logistics,DE,---,"$15,474,246.26","341,024"
,6076146,Westpac Banking Corp.,WBC,0.08%,Diversified Banks,AU,---,"$15,454,447.56","1,270,997"
,5529027,Daimler AG,DAI,0.07%,Automobile Manufacturers,DE,---,"$15,272,489.21","283,110"
,6640682,Nidec Corp.,6594,0.07%,Electrical Components & Equipment,JP,---,"$15,163,518.27","161,696"
,5986622,Koninklijke Philips NV,PHIA,0.07%,Health Care Equipment,NL,---,"$15,119,419.26","320,195"
,2032067,Analog Devices Inc.,ADI,0.07%,Semiconductors,US,---,"$15,089,812.40","129,260"
,6248990,KDDI Corp.,9433,0.07%,Wireless Telecommunication Services,JP,---,"$14,912,357.36","592,900"
,6624608,National Australia Bank Ltd.,NAB,0.07%,Diversified Banks,AU,---,"$14,765,399.65","1,149,331"
,2779397,Charles Schwab Corp.,SCHW,0.07%,Investment Banking & Brokerage,US,---,"$14,719,234.56","406,272"
,6099626,Reliance Industries Ltd.,RELIANCE,0.07%,Oil & Gas Refining & Marketing,IN,---,"$14,522,338.92","478,844"
,B2B0DG9,RELX plc,REL,0.07%,Research & Consulting Services,GB,---,"$14,516,670.52","652,195"
,6129277,NTT DOCOMO Inc.,9437,0.07%,Wireless Telecommunication Services,JP,---,"$14,512,807.15","394,948"
,2749602,Roper Technologies Inc.,ROP,0.07%,Industrial Conglomerates,US,---,"$14,446,011.82","36,562"
,6171900,Housing Development Finance Corp. Ltd.,HDFC,0.07%,Thrifts & Mortgage Finance,IN,---,"$14,419,749.59","608,359"
,2793115,Canadian Pacific Railway Ltd.,CP,0.07%,Railroads,CA,---,"$14,403,298.75","47,349"
,6441506,Hoya Corp.,7741,0.07%,Health Care Supplies,JP,---,"$14,391,299.34","127,451"
,B8KQN82,Eaton Corp. plc,ETN,0.07%,Electrical Components & Equipment,US,---,"$14,312,360.28","140,276"
,BK0VN47,DuPont de Nemours Inc.,DD,0.07%,Specialty Chemicals,US,---,"$14,311,176.96","257,952"
,2085102,Baxter International Inc.,BAX,0.07%,Health Care Equipment,US,---,"$14,281,787.80","177,590"
,2026242,American Electric Power Co. Inc.,AEP,0.07%,Electric Utilities,US,---,"$14,272,264.71","174,627"
,6435145,Honda Motor Co. Ltd.,7267,0.07%,Automobile Manufacturers,JP,---,"$14,159,105.72","596,241"
,BDR05C0,National Grid plc,NG.,0.07%,Multi-Utilities,GB,---,"$14,153,527.92","1,232,219"
,B1G1QD8,Industrial & Commercial Bank of China Ltd.,1398,0.07%,Diversified Banks,CN,---,"$14,149,739.47","27,164,245"
,4012250,Airbus SE,AIR,0.07%,Aerospace & Defense,FR,---,"$14,138,371.60","194,942"
,5980613,Givaudan SA,GIVN,0.07%,Specialty Chemicals,CH,---,"$14,024,248.34","3,248"
,BJDS7L3,Prosus NV,PRX,0.07%,Internet & Direct Marketing Retail,NL,---,"$14,014,677.88","151,833"
,7212477,EssilorLuxottica SA,EL,0.07%,"Apparel, Accessories & Luxury Goods",FR,---,"$14,009,470.20","102,907"
,BJMY6G0,TC Energy Corp.,TRP,0.07%,Oil & Gas Storage & Transportation,CA,---,"$13,874,224.25","330,487"
,7309681,BNP Paribas SA,BNP,0.07%,Diversified Banks,FR,---,"$13,766,159.71","380,546"
,B03GQS4,Digital Realty Trust Inc.,DLR,0.07%,Specialized REITs,US,---,"$13,760,070.84","93,759"
