"PMID","Title","Abstract","Authors","Journal","PubDate","MeSH_Terms"
"39350951","Circulating Interleukin-17A is associated with executive function in middle aged adults with and without type 2 diabetes.","Midlife cardiovascular risk factors such as Type 2 Diabetes (T2DM) and obesity are associated with the later development of cognitive impairment and dementia. Systemic inflammation is postulated as a crucial mechanism, yet there are few studies examining this at the earliest stages prior to overt cognitive impairment. To assess this, we recruited a cohort of middle-aged cognitively-unimpaired individuals with and without uncomplicated T2DM. Comprehensive neuropsychological assessment was performed at baseline and at 4-year follow-up. Ten serum chemokines and cytokines (Eotaxin, MCP-1, MIP-1β, CXCL10, IL-6, IL-10, IL12p70, IL-17A, IFN-γ and TNF-α) were measured at both baseline and follow-up using high-sensitivity assays. Overall, 136 participants were recruited including 90 with uncomplicated midlife T2DM (age 52.6 ± 8.3; 47% female) and 46 without (age 52.9 ± 8.03; 61% female). Cognitive trajectories were stable over time and did not differ with T2DM. Yet on cross-sectional analyses at both baseline and follow-up, greater circulating IL-17A was consistently associated with poorer performance on tests of executive function/attention (β: 0.21; -0.40, -0.02, p = 0.03 at baseline; β: 0.26; -0.46, -0.05, p = 0.02 at follow-up). Associations persisted on covariate adjustment and did not differ by T2DM status. In summary, we provide evidence that greater circulating IL-17A levels were associated with poorer executive function in midlife, independent of T2DM. Long-term follow-up of this and other cohorts will further elucidate the earliest stages in the relationship between systemic inflammation and cognitive decline to provide further mechanistic insights and potentially identify those at greatest risk for later cognitive decline.","Laura Morrison, Adam H Dyer, Helena Dolphin, Isabella Batten, Conor Reddy, Matthew Widdowson, Conor P Woods, James Gibney, Nollaig M Bourke, Sean P Kennelly","Brain, behavior, & immunity - health","2024Nov",NA
"39350947","Metabolic-associated fatty liver disease and pregnancy complications: new challenges and clinical perspectives.","The term metabolic-associated fatty liver disease (MAFLD), with a global prevalence estimated at 38.77%, has gradually replaced the traditional concept of non-alcoholic fatty liver disease (NAFLD). Compared to the general population, the incidence of MAFLD is notably higher among pregnant women, posing potential risks to both maternal and neonatal health. This review summarizes the latest research on MAFLD, focusing on its association with pregnancy complications. Additionally, it provides a comparative analysis with previous studies on NAFLD, presenting a comprehensive perspective for clinical management. Findings suggest that pregnant women with MAFLD face a higher risk of gestational hypertension and cesarean delivery compared to those with NAFLD, while the risk for gestational diabetes mellitus remains similar between the two conditions. Additionally, MAFLD is associated with an increased likelihood of delivering large-for-gestational-age infants and heightened risks of preterm birth and low birth weight. Current treatment strategies for MAFLD focus on lifestyle modifications, such as dietary adjustments and increased physical activity. However, there is an urgent need for the development of safe and effective pharmacological treatments, particularly tailored toward pregnant women. Future research should delve deeper into the causal relationships between MAFLD and pregnancy complications and explore optimal therapeutic approaches to improve outcomes for mothers and their infants.","Yang Zhang, Yifan Bu, Rui Zhao, Cheng Han","Therapeutic advances in endocrinology and metabolism","2024",NA
"39350889","[VENOUS THROMBO-EMBOLISM IN BURNS: INCIDENCE AND RISK FACTORS].","Venous thromboembolic disease (VTE) in burn patients is an under-diagnosed and potentially serious complication. Its incidence varies according to studies performed. This retrospective and descriptive study conducted in an intensive burn care department in Tunisia over a period of 22 months (January 1, 2021 to October 30, 2022) included 24 patients who presented a thromboembolic complication among a total of 785 admissions (incidence of 3%): pulmonary embolism in 15 cases and deep venous thrombosis (DVT) in 9 cases. The mean age of the patients was 43.8 years, with a male:female sex ratio of 2:1. Two thirds of patients (n=17) had a pathological history: hypertension (n=3); diabetes (n=2) and neoplasia (n=2). Three patients were obese. The average TBSA was 29%. Burns involved lower limbs in 19 patients (79%). The mean time to onset of VTE was 27.8 days. Acute dyspnea was present in 1/2 of cases and tachycardia in 1/3 of cases. The association hypoxia-hypocapnia was found in 5 patients. The diagnosis was confirmed by: thoracic angioscan (n=14), pulmonary scintigraphy (n=1), venous Doppler ultrasound of the lower limbs (n=2) and phleboscan of lower limbs (n=7). Factors correlated with thromboembolic risk in our study were: TBSA 20% - 39% (p=0,029; RR=4), with lower limb involvement (p=0,068), catheterization duration ≥7 days (p=0,048; RR=3) and number of catheters >1 (p=0,01; RR=3). The outcome was favorable in 13 patients and fatal in 11 patients.","H Ben Khalifa, A Mokline, H Fraj, S Zarrouk, I Eljemi, B Gasri, M Ben Saad, A A Messadi","Annals of burns and fire disasters","2024Sep",NA
"39350859","Predictive Factors for the Development of Gallbladder Necrosis.","Introduction Acute cholecystitis is a common complication of gallstone disease. Likewise, gallbladder necrosis is a complication of cholecystitis associated with higher risks of morbidity and mortality. Identification of risk factors which portend to gallbladder necrosis is key in prioritizing the management of higher-risk patients. This study aimed to identify such factors that predict the development of gallbladder necrosis. Method A retrospective review of all patients undergoing emergency cholecystectomy in a tertiary hospital over a two-year period was performed. Gallbladder necrosis was diagnosed on histopathological examination of operative specimens. Multivariable logistic regression was performed to determine risk factors for gallbladder necrosis. Results A total of 163 patients underwent acute cholecystectomy and 43 (26%) had proven gallbladder necrosis. Multivariable analysis demonstrated that elevated white cell count (WCC) (OR 1.122, 95%CI 1.031-1.221, p=0.007), elevated C-reactive protein (CRP) (OR 1.004, 95%CI 1.001-1.008, p=0.022) and positive smoking status (OR 5.724, 95%CI 1.323-24.754, p=0.020) were independently predictive of gallbladder necrosis. Notably, advancing age, elevated BMI, diabetes mellitus or American Society of Anesthesiologists (ASA) grade were not found to be associated with developing necrosis. Conclusion Patients at risk of gallbladder necrosis include those with higher WCC, CRP, and active smokers. Given the increased potential complications, these risk factors should be identified early in the management of those admitted with gallstone disease to ensure such patients receive aggressive medical therapy alongside timely and guided surgical intervention.","Sandeep Maharajh, Joshua Brown, Jakub Chmelo, Pooja Prasad, Alexander W Phillips","Cureus","2024Aug",NA
"39350782","Glucagon-like peptide 1 receptor agonist: A potential game changer for cholangiocarcinoma.","Glucagon-like peptide-1 receptor (GLP-1R) agonist, a subgroup of incretin-based anti-diabetic therapies, is an emerging medication with benefits in reducing blood glucose and weight and increasing cardiovascular protection. Contrarily, concerns have been raised about GLP-1R agonists increasing the risk of particular cancers. Recently, several epidemiological studies reported contradictory findings of incretin-based therapy on the risk modification for cholangiocarcinoma (CCA). The first cohort study demonstrated that incretin-based therapy was associated with an increased risk of CCA. Later studies, however, showed a null effect of incretin-based therapy on CCA risk for dipeptidyl peptidase-4 inhibitor nor GLP-1R agonist. Mechanistically, glucagon-like peptide 1 receptor is multifunctional, including promoting cell growth. High GLP-1R expressions were associated with progressive phenotypes of CCA cells in vitro. Unexpectedly, the GLP-1R agonist showed anti-tumor effects on CCA cells in vitro and in vivo with unclear mechanisms. Our recent report also showed that GLP-1R agonists suppressed the expression of GLP-1R in CCA cells in vitro and in vivo, leading to the inhibition of CCA tumor growth. This editorial reviews recent evidence, discusses the potential effects of GLP-1R agonists in CCA patients, and proposes underlying mechanisms that would benefit from further basic and clinical investigation.","Ronnakrit Trakoonsenathong, Ching-Feng Chiu, Charupong Saengboonmee","World journal of gastroenterology","2024Sep14","Cholangiocarcinoma; Humans; Glucagon-Like Peptide-1 Receptor; Bile Duct Neoplasms; Incretins; Cell Proliferation; Hypoglycemic Agents; Dipeptidyl-Peptidase IV Inhibitors; Antineoplastic Agents; Animals"
"39350677","Provision and outcomes of publicly funded bariatric surgery in a metropolitan versus a provincial population of New Zealand.","Obesity is an important health problem worldwide. The prevalence of obesity in Aotearoa New Zealand (AoNZ) is the third highest amongst OECD countries. Previous studies have demonstrated inequity in the provision of bariatric and metabolic surgery (BMS) across AoNZ, but detailed data regarding patients and surgical outcomes is lacking. The aim of this study is to examine the rates and outcomes of BMS between patients domiciled in a metropolitan versus provincial area in AoNZ. A 5-year retrospective observational cohort study of all patients who received BMS domiciled in a metropolitan or a provincial area in the Northern region of AoNZ was performed. Interrogation of patient electronic medical records and clinical notes was performed to collect the required baseline characteristics, secondary outcome measure data and confirm domicile. The rate of BMS was 6.1 times higher in the population with class III obesity domiciled in the metropolitan versus the provincial population. Patients in the metropolitan area were less obese, had lower rates of diabetes and had a wider range of procedures performed. Māori were underrepresented in both cohorts. There was a higher resolution of diabetes in the provincial patients. This study has highlighted significant differences in the rate, type and outcomes of BMS between a metropolitan and provincial area in the Northern region of AoNZ. This represents a significant health inequity. Changes in national and regional policies are needed to ensure equitable care for patients with obesity in AoNZ.","Henry Witcomb Cahill, Matthew McGuinness, Jamie Struthers, Ian Bissett, Christopher Harmston","ANZ journal of surgery","2024Oct01",NA
"39350559","Comparative Effects of Candesartan Versus Enalapril on Apelin, Visfatin, and Lipid Levels in Non-obese Hypertensive Patients.","Apelin and visfatin are adipokines secreted from adipose tissue that play important roles in regulating blood pressure. Therefore, the current study aimed to investigate the effects of candesartan versus enalapril on apelin, visfatin, and lipid profiles in hypertensive patients. In this case-control study, 120 participants were enrolled in four groups; Healthy people, newly diagnosed hypertensive patients, and enalapril- and candesartan-treated patients. Serum apelin levels were significantly lower and visfatin levels were significantly higher in newly diagnosed hypertensive patients compared with the control group (p=0.0015, p=0.0175 respectively). Moreover, apelin levels were higher and visfatin levels were lower in the candesartan-treated patients compared with the newly diagnosed group (p=0.0487, p<0.0001 respectively). Interestingly, apelin levels were non-significantly higher and visfatin levels were significantly lower in enalapril-treated patients compared with the newly diagnosed group (p<0.0001). Lower apelin and higher visfatin levels are associated with newly diagnosed patients with hypertension. Interestingly, the findings suggest that ACE inhibition and angiotensin receptor blockade by enalapril and candesartan, respectively, positively regulate apelin and visfatin levels in hypertension. Specifically, candesartan regulates these adipokine to a greater extent than enalapril.","Yaseen K Jumaah, Zainab H Fathi, Jehan A Mohammad","Medeniyet medical journal","2024Sep30",NA
"39350530","Relationships between social determinants of health and healthy body composition among Aboriginal and Torres Strait Islander youth in the Next Generation: Youth Well-being study.","Little is currently known about the relationships between body composition and the social determinants of health among Aboriginal and Torres Strait Islander youth in Australia, which could help inform policy responses to address health inequities. This study aimed to explore the relationship between various social factors and healthy body mass index (BMI) and waist/height ratio (WHtR) among Aboriginal and Torres Strait Islander youth aged 16-24 years. Baseline survey data from 531 participants of the 'Next Generation: Youth Well-being study' were used. Robust Poisson regression quantified associations between healthy body composition and self-reported individual social factors (education, employment and income, government income support, food insecurity, home environment, relationship status, racism), family factors (caregiver education and employment) and area-level factors (remoteness, socioeconomic status). Healthy body composition was less common among those living in a crowded home (healthy WHtR aPR 0.67 [0.47-0.96]) and those receiving government income support (healthy BMI aPR 0.74 [0.57-0.95]). It was more common among those with tertiary educated caregivers (healthy BMI aPR 1.84 [1.30-2.61]; healthy WHtR aPR 1.41 [1.05-1.91]) and those in a serious relationship (healthy BMI aPR 1.33 [1.02-1.75]). Social factors at the individual and family level are associated with healthy body composition among Aboriginal and Torres Strait Islander youth. SO WHAT?: The findings of this study highlight the potential for health benefits for youth from policies and programs that address social inequities experienced by Aboriginal and Torres Strait Islander people in Australia.","Christopher D McKay, Lina Gubhaju, Alison J Gibberd, Bridgette J McNamara, Rona Macniven, Grace Joshy, Aryati Yashadhana, Ted Fields, Robyn Williams, Robert Roseby, Peter Azzopardi, Emily Banks, Sandra J Eades","Health promotion journal of Australia : official journal of Australian Association of Health Promotion Professionals","2024Sep30",NA
"39350474","Prediction of Renal Graft Function 1 Year After Adult Deceased-Donor Kidney Transplantation Using Variables Available Prior to Transplantation.","BACKGROUND Kidney transplantation is still the best therapy for patients with end-stage renal disease, but the demand for donor organs persistently surpasses the supply. A prognostic model using pre-transplant data for the prediction of renal graft function would be helpful to optimize organ allocation and avoid futile transplantations. MATERIAL AND METHODS Retrospective data of 2431 patients who underwent kidney transplantation between January 01, 2000, and December 31, 2012 with subsequent ten-year clinical follow-up in our transplant center were analyzed. Of these, 1172 patients met the inclusion criteria. Multivariable regression modelling was used to develop a prognostic model for the prediction of graft function after 1 year utilizing only pre-transplant data. The final model was assessed with the area under the receiver operating characteristic (AUROC) curve. RESULTS Donor age, donor serum creatinine, recipient body mass index, re-transplantations beyond the second kidney transplantation, and cold ischemia time had an independent, significant influence on graded renal graft function 1 year after kidney transplantation. AUROC analysis of the prognostic model was >0.700 for all GFR categories except KDIGO G5, indicating high sensitivity and specificity of prediction. CONCLUSIONS For improvement of renal graft function, organs from older donors or donors with high serum creatinine should not be used in obese recipients and for re-transplantations beyond the second one. Cold ischemia time should be as short as possible.","Ulrich Zwirner, Dennis Kleine-Döpke, Alexander Wagner, Simon Störzer, Felix Gronau, Oliver Beetz, Nicolas Richter, Wilfried Gwinner, Ulf Kulik, Moritz Schmelzle, Harald Schrem","Annals of transplantation","2024Oct01","Humans; Kidney Transplantation; Female; Male; Middle Aged; Adult; Retrospective Studies; Prognosis; Graft Survival; Tissue Donors; Kidney Failure, Chronic; Glomerular Filtration Rate; Cold Ischemia; Creatinine"
"39350428","Theoretical Behavior Substitutions during the 24-Hour Day in Pregnancy and Infant Growth Outcomes.","To assess associations of theoretically reallocating time from sleep, sedentary behavior, or light intensity physical activity (LPA) to moderate/vigorous intensity physical activity (MVPA) during pregnancy with infant growth outcomes. We used data from a cohort of pregnant individuals with overweight or obesity (n = 116). At 9-15 and 30-36 weeks gestation, waking movement was measured using wrist-worn accelerometers and sleep duration was self-reported. Outcomes were obtained from delivery electronic health records (birth) and study visits (12 months). We used compositional isotemporal substitution models. In early pregnancy, reallocating 10 minutes of sleep, sedentary behavior, or LPA to MVPA was associated with 20% (RR = 0.80; 95%CI: 0.75,0.85), 21% (RR = 0.79; 95%CI: 0.75,0.84), and 25% (RR = 0.75; 95%CI: 0.70,0.81) lower risk of large-for-gestational age (LGA) birthweight, respectively, and 17% (RR = 0.83; 95%CI: 0.75,0.91), 18% (RR = 0.82; 95%CI: 0.75,0.91), and 22% (RR = 0.78; 95%CI: 0.70,0.88) lower risk of rapid infant growth (birth to 12 months), respectively. In late pregnancy, reallocating 10 minutes to MVPA was associated with 18% to 22% lower risk of LGA birthweight, but was not associated with rapid infant growth. Reallocating time to MVPA in early or late pregnancy was not associated with high newborn body fat percent. Our findings suggest beneficial associations of theoretically reallocating time from sleep, sedentary behavior, or LPA to MVPA, especially during early pregnancy, for reducing LGA birthweight and rapid infant growth.","Sylvia E Badon, Assiamira Ferrara, Kelley Pettee Gabriel, Erin E Dooley, Charles P Quesenberry, Lyndsay A Avalos, Monique M Hedderson","Medicine and science in sports and exercise","2024Oct01",NA
"39350396","Potentially Modifiable Dementia Risk Factors in Canada: An Analysis of Canadian Longitudinal Study on Aging with a Multi-Country Comparison.","It has been suggested that up to 40% of dementia cases worldwide are associated with modifiable risk factors; however, these estimates are not known in Canada. Furthermore, sleep disturbances, an emerging factor, has not been incorporated into the life-course model of dementia prevention. To estimate the population impact of 12 modifiable risk factors in Canadian adults including sleep disturbances, by sex and age groups, and to compare with other countries. Cross-sectional analysis of Canadian Longitudinal Study on Aging baseline data. Community. 30,097 adults aged 45 years and older. Prevalence and Population Attributable Fractions (PAFs) associated with less education, hearing loss, traumatic brain injury, hypertension, excessive alcohol, obesity, smoking, depression, social isolation, physical inactivity, diabetes, and sleep disturbances. The risk factors with the largest PAF were later life physical inactivity (10.2%; 95% CI, 6.8% to 13%), midlife hearing loss (6.5%; 3.7% to 9.3%), midlife obesity (6.4%; 4.1% to 7.7%), and midlife hypertension (6.2%; 2.7% to 9.3%). The PAF of later life sleep disturbances was 3.0% (95% CI, 1.8% to 3.8%). The 12 risk factors accounted for 51.9% (32.2% to 68.0%) of dementia among men and 52.4% (32.5% to 68.7%) among women. Overall, the combined PAF of all risk factors was 49.2% (31.1% to 64.9%), and it increased with age. Nearly up to 50% of dementia cases in Canada are attributable to 12 modifiable risk factors across the lifespan. Canadian risk reduction strategies should prioritize targeting physical inactivity, hearing loss, obesity, and hypertension.","S Son, M Speechley, G Y Zou, M Kivipelto, F Mangialasche, H H Feldman, H Chertkow, S Belleville, H Nygaard, V Hachinski, F Pieruccini-Faria, M Montero-Odasso","The journal of prevention of Alzheimer's disease","2024","Humans; Canada; Male; Female; Dementia; Risk Factors; Longitudinal Studies; Aged; Middle Aged; Cross-Sectional Studies; Aging; Prevalence; Aged, 80 and over; Obesity; Hypertension; Sleep Wake Disorders; Hearing Loss"
"39350388","Later-Life Cognitive Trajectories and Risk of Death: Results from a 6-Year Longitudinal Study of 7082 Chinese.","To identify cognitive decline trajectories in a Chinese elderly population, explore the associations between these trajectories and mortality, and further identify risk factors related to certain trajectories of cognitive decline. Prospective cohort study. The group-based trajectory modeling and Cox proportional hazards models were conducted to explore the association between cognitive trajectory groups and mortality, while multinomial logistic regression models were constructed to estimate potential risk factors. We included 7082 participants aged 65 years or above in three consecutive but non-overlapping cohorts of the Chinese Longitudinal Healthy Longevity Survey with the Chinese version of the Mini-Mental State Examination up to 6 years. Participants were subsequently followed for a median (IQR) of 2.89 (1.38-3.12) years to obtain their survival status and date of death. Chinese version of the Mini-Mental State Examination was used to measure participants' cognitive function. Through use of group-based trajectory modeling, we determined three cognitive trajectory groups. Then, after adjusting for confounding factors, we found a monotonic and positive association between cognitive decline and mortality risk. Meanwhile, the association varied among elderly populations in different age groups and BMI categories, but did not differ by sex, smoking, drinking and exercising. Older seniors, females and those with poorer baseline cognitive function and less social participation tended to be more likely to be in the unfavorable trajectory groups. We found that the faster the cognitive decline, the higher the mortality, especially among those aged 65-79 years and those overweight. Our findings suggested the importance of implement better monitoring of the cognitive function of the elderly population.","Y Zhao, W Zhou, M Xing, L Zhang, Y Tong, X Lv, Y Ma, W Li","The journal of prevention of Alzheimer's disease","2024","Humans; Aged; Female; Male; Longitudinal Studies; Cognitive Dysfunction; China; Risk Factors; Prospective Studies; Aged, 80 and over; Mental Status and Dementia Tests; Proportional Hazards Models; Cognition"
"39350356","Body mass index as a determinant of scar formation post-AF ablation: Insights from DECAAF II.","Obesity is implicated in adverse atrial remodeling and worse outcomes in patients with atrial fibrillation. The objective of this study is to assess the effect of body mass index (BMI) on ablation-induced scar formation on late gadolinium enhancement cardiac magnetic resonance imaging (LGE-CMR). We conducted an analysis of DECAAF II participants who underwent LGE-CMR scans to measure scar formation 3 months after catheter ablation. Ablation parameters and lesion delivery were not dependent on BMI. The effect of BMI on ablation success was explored. Our analyses included 811 patients. Comorbidities were more prevalent in obese patients. Baseline left atrial volume was higher in obese individuals, 118, 126, 135, 140, and 143 mm3 for normal weight, overweight, obese grade 1, 2, and 3, respectively (p < .001). BMI was associated with scar formation (R = -0.135, p < .001), with patients with Class 3 obesity having the lowest percentage of ablation-induced scar, 11.1%, 10.3%, 9.5%, 8.8%, 6.8% by ascending BMI group. There was an inverse correlation between BMI and the amount of fibrosis covered by ablation scar, 24%, 23%, 21%, and 18% by ascending BMI group (p = .001). For the fibrosis-guided ablation group, BMI was associated with residual fibrosis (R = 0.056, p = .005). Obese patients have lower ablation scar formation, covered fibrosis, and more residual fibrosis postablation compared to nonobese patients, regardless of ablation parameters including impedance drop.","Ghassan Bidaoui, Eli Tsakiris, Hadi Younes, Han Feng, Ala Assaf, Nour Chouman, Mayana Bsoul, Francisco Tirado Polo, Yishi Jia, Yingshou Liu, Chanho Lim, Nadia Chamoun, Mario Mekhael, Charbel Noujaim, Amitabh C Pandey, Swati Rao, Omar Kreidieh, Nassir F Marrouche, Eoin Donnellan","Journal of cardiovascular electrophysiology","2024Sep30",NA
"39350353","Longitudinal Associations of Aerobic Activity, Muscle-Strengthening Activity, and Adiposity with Cardiorespiratory Fitness.","Cardiorespiratory fitness (CRF) declines with age, and greater declines increase the risk for adverse health outcomes. Understanding factors that attenuate age-related decreases in CRF can help extend healthy life. We sought to determine the longitudinal associations of aerobic physical activity, muscle-strengthening activity (MSA), and adiposity with CRF. Study participants were enrolled in the Cooper Center Longitudinal Study and had ≥3 preventive medical examinations at the Cooper Clinic (Dallas, Texas) during 1987-2019. Aerobic activity and MSA were self-reported, and three measures of adiposity were clinically assessed: body mass index (BMI), body fat percentage, and waist circumference. CRF, expressed as metabolic equivalents (METs), was estimated by a maximal treadmill test. The longitudinal associations of aerobic activity, MSA, and adiposity with CRF were estimated using multivariable mixed linear regression models. The study included 6,105 participants who were followed for a median of 7.1 years. Most participants were men (83.6%), and their average age at baseline was 47.0 (SD: 8.7) years. Mean CRF at baseline was 12.2 (SD: 2.3) METs. Increasing aerobic activity (per 500 MET-minutes/week, β: 0.069, 95% CI: 0.064, 0.074 METs) or MSA (per days/week, β: 0.066, 95% CI: 0.058, 0.073 METs) was associated with increased CRF over time. Increasing BMI, body fat percentage, or waist circumference were each associated with decreased CRF over time. These data offer longitudinal evidence on how changes in aerobic activity, MSA, and various measures of adiposity (beyond BMI) independently correlate with CRF over time. Healthy lifestyle behaviors that include increasing aerobic and muscle-strengthening activity and limiting adiposity may positively influence the retention of fitness with age and improve downstream health outcomes.","Clare Meernik, Mickey Scheinowitz, David Leonard, Carolyn E Barlow, Tammy Leonard, Kelley Pettee Gabriel, Andjelka Pavlovic, Jarett D Berry, Laura F DeFina, Kerem Shuval","Medicine and science in sports and exercise","2024Oct01",NA
"39350348","Consumption responses to sweetened beverage taxes by household income in four U.S. cities.","Taxes on sweetened beverages have become an important policy response to growing obesity rates and the prevalence of type 2 diabetes in the U.S. and other nations. Since 2015, eight U.S. cities have implemented these taxes, but so far direct evidence of their impacts on household purchasing behavior is scarce. Of particular interest to many researchers and policy makers is the response of lower-income consumers to these taxes, both because they have higher sweetened beverage consumption on average and because of concerns that sweetened beverage taxes are regressive. This project investigates the income-stratified household response to SSB taxes using a data set containing the purchasing behavior of approximately 400 households in the cities of Seattle, San Francisco, Oakland, and Philadelphia, all of which have recently introduced beverage taxes. Using doubly-robust estimation of dynamic and heterogeneous treatment effects relative to a propensity-matched set of households in three comparison cities, we find that households in taxed cities experience increased prices and reduce their purchases of those beverages, with no evidence of cross-border shopping. We further find differential tax impacts by income level, with lower-income households (households with income <200% of the federal poverty line for their size) reducing their purchases of taxed beverages by nearly 50% - more than double the 18% reduction found in higher-income households (households with income >400% of the federal poverty line for their size). Our finding that lower-income households decrease their consumption more than twice as much as higher-income households suggests that these taxes may reduce health disparities and promote population health.","Melissa A Knox, Jessica C Jones-Smith","Health economics","2024Sep30",NA
"39350243","Internalized weight stigma and psychological distress mediate the association of perceived weight stigma with food addiction among young adults: A cross-sectional study.","Perceived weight stigma (PWS) and internalized weight stigma (IWS) are both associated with psychological distress and food addiction (FA). Using the previously proposed 'cyclic obesity/weight-based stigma' (COBWEBS) model, the present study extended the framework to investigate the mediating effects of IWS and psychological distress in the association between PWS and FA among young adults. Given that individuals who are overweight/have obesity have different vulnerabilities, this population was separately analyzed alongside the total study population. An online survey comprising the Perceived Weight Stigma Scale, Weight Bias Internalization Scale (WBIS), Depression, Anxiety and Stress Scale-21 (DASS-21), and modified Yale Food Addiction Scale Version 2 was completed by 601 participants (59.6% females; mean age 29.3 years [SD = 6.07]). A total of 219 participants were categorized as being overweight/having obesity. A direct correlation was found between PWS and FA (standardized coefficient [β] = 0.28, p < 0.001) among both populations, and was mediated by IWS and psychological distress (β [95% CI] = 0.03 [0.01, 0.05] for WBIS score and 0.10 [0.06, 0.14] for DASS-21 score) among the total participants, but only mediated by psychological distress among participants who were overweight/had obesity (β [95% CI] = 0.14 [0.06, 0.24]). The results demonstrated novel perspectives by showing the direct association between PWS and FA and the mediating roles of IWS and psychological distress. Treatment strategies such as psychological acceptance and psychoeducation could be used to reduce weight stigma, which could have positive downstream benefits of ameliorating FA. Future research may seek to study strategies for reducing weight stigma and psychological distress, to investigate their efficacy in improving disordered eating.","Po-Ching Huang, Janet D Latner, Nadia Bevan, Mark D Griffiths, Jung-Sheng Chen, Chi Hsien Huang, Kerry S O'Brien, Chung-Ying Lin","Journal of eating disorders","2024Sep30",NA
"39350230","Reproductive factors and mammographic density within the International Consortium of Mammographic Density: A cross-sectional study.","Elevated mammographic density (MD) for a woman's age and body mass index (BMI) is an established breast cancer risk factor. The relationship of parity, age at first birth, and breastfeeding with MD is less clear. We examined the associations of these factors with MD within the International Consortium of Mammographic Density (ICMD). ICMD is a consortium of 27 studies with pooled individual-level epidemiological and MD data from 11,755 women without breast cancer aged 35-85 years from 22 countries, capturing 40 country-& ethnicity-specific population groups. MD was measured using the area-based tool Cumulus. Meta-analyses across population groups and pooled analyses were used to examine linear regression associations of square-root (√) transformed MD measures (percent MD (PMD), dense area (DA), and non-dense area (NDA)) with parity, age at first birth, ever/never breastfed and lifetime breastfeeding duration. Models were adjusted for age at mammogram, age at menarche, BMI, menopausal status, use of hormone replacement therapy, calibration method, mammogram view and reader, and parity and age at first birth when not the association of interest. Among 10,988 women included in these analyses, 90.1% (n = 9,895) were parous, of whom 13% (n = 1,286) had ≥ five births. The mean age at first birth was 24.3 years (Standard deviation = 5.1). Increasing parity (per birth) was inversely associated with √PMD (β: - 0.05, 95% confidence interval (CI): - 0.07, - 0.03) and √DA (β: - 0.08, 95% CI: - 0.12, - 0.05) with this trend evident until at least nine births. Women who were older at first birth (per five-year increase) had higher √PMD (β:0.06, 95% CI:0.03, 0.10) and √DA (β:0.06, 95% CI:0.02, 0.10), and lower √NDA (β: - 0.06, 95% CI: - 0.11, - 0.01). In stratified analyses, this association was only evident in women who were post-menopausal at MD assessment. Among parous women, no associations were found between ever/never breastfed or lifetime breastfeeding duration (per six-month increase) and √MD. Associations with higher parity and older age at first birth with √MD were consistent with the direction of their respective associations with breast cancer risk. Further research is needed to understand reproductive factor-related differences in the composition of breast tissue and their associations with breast cancer risk.","Jessica O'Driscoll, Anya Burton, Gertraud Maskarinec, Beatriz Perez-Gomez, Celine Vachon, Hui Miao, Martín Lajous, Ruy López-Ridaura, A Heather Eliassen, Ana Pereira, Maria Luisa Garmendia, Rulla M Tamimi, Kimberly Bertrand, Ava Kwong, Giske Ursin, Eunjung Lee, Samera A Qureshi, Huiyan Ma, Sarah Vinnicombe, Sue Moss, Steve Allen, Rose Ndumia, Sudhir Vinayak, Soo-Hwang Teo, Shivaani Mariapun, Farhana Fadzli, Beata Peplonska, Chisato Nagata, Jennifer Stone, John L Hopper, Graham Giles, Vahit Ozmen, Mustafa Erkin Aribal, Joachim Schüz, Carla H Van Gils, Johanna O P Wanders, Reza Sirous, Mehri Sirous, John Hipwell, Jisun Kim, Jong Won Lee, Mikael Hartman, Jingmei Li, Christopher Scott, Anna M Chiarelli, Linda Linton, Marina Pollan, Anath Arzee Flugelman, Dorria Salem, Rasha Kamal, Norman Boyd, Isabel Dos-Santos-Silva, Valerie McCormack, Maeve Mullooly","Breast cancer research : BCR","2024Sep30","Humans; Female; Breast Density; Middle Aged; Adult; Aged; Cross-Sectional Studies; Mammography; Breast Neoplasms; Risk Factors; Reproductive History; Aged, 80 and over; Parity; Body Mass Index; Breast Feeding; Pregnancy; Mammary Glands, Human"
